NOME;PONTUACAO;LOCAL;BUSCA_ID;LAT;LON
Memorial Sol Poente;3.8;Avenida Sol Poente, 8800 - Cipó, Caucaia - CE, 61636-010;cemitério;-3.73611;-38.65306
Cemitério São João Batista;4.3;R. Padre Mororó, S/N - Centro, Fortaleza - CE, 60015-220;cemitério;-3.7248411;-38.5372866
Cemitério Parque da Paz;3.8;Av. Pres. Juscelino Kubitschek, 4454 - Passaré, Fortaleza - CE, 60861-634;cemitério;-3.71722;-38.54306
Cemitério Público de Messejana;3.9;Rua Pe Severiano, 290 - Messejana, Fortaleza - CE, 60871-565;cemitério;-3.8348912;-38.4907215
Cemitério São Vicente de Paula;3.2;Av. da Abolição, 3986 - Mucuripe, Fortaleza - CE, 60165-082;cemitério;-3.7247815;-38.4828055
Cemitério São José (Cemitério da Parangaba);2.7;R. Napoleão Quezado, 365 - Parangaba, Fortaleza - CE, 60710-010;cemitério;-3.7776394;-38.5670852
Cemitério Memorial Vale da Saudade: Holding;4.7;Av. Edilson Brasil Soares, 1181 - Edson Queiroz, Fortaleza - CE, 60834-005;cemitério;-3.7887572;-38.4756659
Cemitério Parque da Paz;3.5;Av. da Saudade - Passaré, Fortaleza - CE, 60810-670;cemitério;-3.8144836;-38.5343982
Cemitério Parque Bom Jardim;3.9;Estr. do Jatobá, 2668 - Siqueira, Fortaleza - CE, 60544-435;cemitério;-3.7946993;-38.6265585
Memorial Fortaleza: Cemitério, Cremação, Velório, Funerária em Fortaleza CE;4.7;R. Paulo Afonso, 1191 - Jari, Maracanaú - CE, 61916-570;cemitério;-3.87667;-38.62556
Memorial Funeral Home;5.0;Av. Engenheiro Alberto Sá, 446 - Papicu, Fortaleza - CE, 60175-395;cemitério;-3.7346042;-38.4766319
Cemitério Anjo da Guarda - Fortaleza;4.9;Av. Dionísio Leonel Alencar, 1652 - Ancuri, Fortaleza - CE, 60870-576;cemitério;-3.8602616;-38.5129305
Cemitério do Antônio Bezerra - (Santo Antônio);3.8;Rua Professor Leite Gondim, 525 - Antônio Bezerra, Fortaleza - CE, 60360-332;cemitério;-3.7419008;-38.5918164
Funerária Cred Urna: Plano Funerário, Jazigos, Cremação, Funerais, Bom Jardim, Fortaleza;4.8;R. Edson Martins, 347 - Bom Jardim, Fortaleza - CE, 60543-454;cemitério;-3.7920379;-38.594984
Cemitério Parque da Saudade;4.4;Avenida, Rod. 4º Anel Viário, Km 22 - s/n - Urucutuba, Caucaia - CE, 61600-000;cemitério;-3.7822;-38.8025
Jardim Metropolitano | Cemitério e Crematório;3.8;Rod. 4º Anel Viário, s/n - Coaçu, Eusébio - CE, 61760-000;cemitério;-3.8695;-38.4554
Crematório Pet Ceará;4.8;Av. Engenheiro Alberto Sá, 446 - Papicu, Fortaleza - CE, 60175-395;cemitério;-3.7346042;-38.4766319
Memorial Sol Poente;3.8;Avenida Sol Poente, 8800 - Cipó, Caucaia - CE, 61636-010;cemitério;-3.73611;-38.65306
Jardim Metropolitano (Contil - Escritório Central);3.7;Av. Desembargador Moreira, 1954 - Aldeota, Fortaleza - CE, 60150-160;cemitério;-3.7423277;-38.5006357
MEMORIAL FORTALEZA;4.8;R. Paulo Afonso - Sitio Jari, Maracanaú - CE, 61916-570;cemitério;-3.87667;-38.62556
Funerária Eternidade;4.8;R. Sen. Pompeu, 2062 - Benfica, Fortaleza - CE, 60025-001;cemitério;-3.71722;-38.54306
