NOME;PONTUACAO;LOCAL;BUSCA_ID;LAT;LON
Memorial Funeral Home;5.0;Av. Engenheiro Alberto Sá, 446 - Papicu, Fortaleza - CE, 60175-395;casa funerária;-3.7346042;-38.4766319
Funerária Paz Eterna;4.0;Av. Barão de Studart, 2780 - Dionísio Torres, Fortaleza - CE, 60120-002;casa funerária;-3.7466009;-38.510401
Funerária Ternura;4.3;Rua Padre Valdevino, 2255 - Aldeota, Fortaleza - CE, 60135-041;casa funerária;-3.7426484;-38.504997
Grupo Jerusalém Funerária;4.2;Av. Heráclito Graça, 330 - Centro, Fortaleza - CE, 60140-060;casa funerária;-3.7355073;-38.5184243
Funerária Caminho Certo;5.0;R. Barão do Rio Branco, 1895 - Centro, Fortaleza - CE, 60025-062;casa funerária;-3.7348904;-38.5307927
Funerária CABEMCE;5.0;Avenida Imperador, 1612 - Centro, Fortaleza - CE, 60015-052;casa funerária;-3.7324951;-38.5360684
Grupo Jerusalém Funerária;5.0;R. Sen. Pompeu, 468 - Centro, Fortaleza - CE, 60025-000;casa funerária;-3.71722;-38.54306
Funerária Paraíso;5.0;R. da Assunção, 709 - José Bonifacio, Fortaleza - CE, 60050-010;casa funerária;-3.7363362;-38.5289839
Funerária Eternidade;4.8;R. Sen. Pompeu, 2062 - Benfica, Fortaleza - CE, 60025-001;casa funerária;-3.71722;-38.54306
Funerária Henrique Jorge;4.3;Av. Senador Fernandes Távora, 960 - Henrique Jorge, Fortaleza - CE, 60510-290;casa funerária;-3.7624254;-38.58125
Alvorada Funerais;4.3;R. Sen. Pompeu, 2080 - José Bonifacio, Fortaleza - CE, 60025-002;casa funerária;-3.71722;-38.54306
Funerária são francisco;5.0;R. Sen. Pompeu, 495 - Centro, Fortaleza - CE, 60025-000;casa funerária;-3.71722;-38.54306
INDICADOR POPULAR FUNERAIS;5.0;Avenida Imperador, 1160 - Centro, Fortaleza - CE, 60015-050;casa funerária;-3.7312628;-38.5360286
Funerária Plena Paz;1.5;R. Emílio de Menezes, 1907 - Bonsucesso, Fortaleza - CE, 60541-420;casa funerária;-3.7817134;-38.5875605
Paz Eterna;4.2;R. Barão do Rio Branco, 1463 - Centro, Fortaleza - CE, 60025-061;casa funerária;-3.7312015;-38.5294875
PLANO DA PAZ | Plano de Assistência Familiar | Matriz;2.6;Av. João Pessoa, 6410 - Demócrito Rocha, Fortaleza - CE, 60440-005;casa funerária;-3.7635067;-38.5582975
Funerária Plano da Paz - Demócrito Rocha;3.0;Av. João Pessoa, 6410 - Parangaba, Fortaleza - CE, 60721-340;casa funerária;-3.7696783;-38.5607925
funerária paz eterna;5.0;R. Padre Pedro de Alencar, 1023 - Messejana, Fortaleza - CE, 60840-280;casa funerária;-3.829371;-38.4937156
Funerária Nova Jerusalém;2.5;R. Sen. Pompeu, 443 - Centro, Fortaleza - CE, 60025-000;casa funerária;-3.71722;-38.54306
Funerária Ethernus Complexo Velatório;4.5;Rua Padre Valdevino, 1688 - Aldeota, Fortaleza - CE, 60135-041;casa funerária;-3.7417403;-38.509704
Funeraria Grupo Nova Era;3.7;Rua Santa Catarina, 230 - Panamericano, Fortaleza - CE, 60440-125;casa funerária;-3.7536884;-38.5654642
Funerária Templo - Planos a partir de R$35,00 mensais;5.0;R. Carapinima, 1700 - Benfica, Fortaleza - CE, 60015-290;casa funerária;-3.7362611;-38.5366658
Funerária Henrique Jorge;5.0;Av. Jovita Feitosa, 2863 - Parquelândia, Fortaleza - CE, 60455-411;casa funerária;-3.7392701;-38.5537133
Funerária Plavinova;5.0;Rua Coronel Tibúrcio, 11 - Mondubim, Fortaleza - CE, 60762-110;casa funerária;-3.8077006;-38.5721083
Agência Funerária Antônio Bezerra;3.4;Av. Mister Hull, 5826 - A, Fortaleza - CE, 60356-001;casa funerária;-3.7393183;-38.5896036
Funerária Paz Duradoura;4.4;Av. Dr. Theberge, 2380 - Pres. Kennedy, Fortaleza - CE, 60355-000;casa funerária;-3.71722;-38.54306
Alvorada Funerais Parangaba;4.7;Av. Gen. Osório de Paiva, 255 - Parangaba, Fortaleza - CE, 60720-000;casa funerária;-3.7748566;-38.5651882
Funerária Cristo É Vida;5.0;R. Jacinto Matos, 903 - Jacarecanga, Fortaleza - CE, 60310-210;casa funerária;-3.7190264;-38.5466088
Funerária Master Paz;5.0;R. Moreira de Sousa, 69 - Parquelândia, Fortaleza - CE, 60450-080;casa funerária;-3.7368205;-38.5664405
PLASA - Plano de Assistência Alvorada;3.8;Av. Domingos Olímpio, 1021 - Benfica, Fortaleza - CE, 60040-081;casa funerária;-3.7364026;-38.5329349
FUNERÁRIA LUZ E VIDA;5.0;R. Bom Jesus, 959 - Bom Jardim, Fortaleza - CE, 60540-250;casa funerária;-3.7942909;-38.6023762
Funerária Bom Baiano;5.0;R. Padre Mororó, 217 - Centro, Fortaleza - CE, 60010-100;casa funerária;-3.7188834;-38.5353332
Funeraria Unipaz;4.3;Av. Genibaú, 601 - Genibaú, Fortaleza - CE, 60534-230;casa funerária;-3.7606624;-38.6006414
Funerária Santa Rosa;3.5;Rua Con Castro, 5185 - Conj. Esperança, Fortaleza - CE, 60730-000;casa funerária;-3.71722;-38.54306
Funerária Pax Peniel;5.0;Rua Sousa Carvalho, 1832 - Granja Portugal, Fortaleza - CE, 60541-245;casa funerária;-3.7797624;-38.6024264
Maximus Funerais;5.0;N. 340 - Rua: Dr. Periguari - Antônio Bezerra, Fortaleza - CE, 60360-600;casa funerária;-3.7427061;-38.5862018
Funerária Anjo da Guarda;4.4;Av. Jovita Feitosa, 125 - Rodolfo Teófilo, Fortaleza - CE, 60431-081;casa funerária;-3.7375878;-38.5449737
Funerária Oriente Eterno;4.6;Atrás do Hospital São José de Doenças Infecciosas - Rua Dom José Lourenço, 1313 - Parquelândia, Fortaleza - CE, 60450-245;casa funerária;-3.71722;-38.54306
Paz Duradoura;4.7;Av. Francisco Sá, 4180 - Carlito Pamplona, Fortaleza - CE, 60310-001;casa funerária;-3.7189308;-38.5527656
